| Group                                                 | Title1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Title2                                                                                                      | Title3                                                                                                | Title4                     | Title5                                                                                                                        | Title6 | Title7 | Title8 | Title9 | Title10 | isMultiChoice | isAnswer1Correct | Answer1                                                                                                                                                                                       | isAnswer2Correct | Answer2                                                                                                                                                                    | isAnswer3Correct | Answer3                                                                                                                                                                     | isAnswer4Correct | Answer4                                                                                                                                                                      | isAnswer5Correct | Answer5 | isAnswer6Correct | Answer6 | isAnswer7Correct | Answer7 | isAnswer8Correct | Answer8 | isAnswer9Correct | Answer9 | isAnswer10Correct | Answer10 |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which one of the following statements describes the basic idea of MBT?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. MBT supports white box testing techniques.                                                                                                                                                 | Y                | B. MBT improves the quality and efficiency of the test process.                                                                                                            |                  | C. MBT improves the quality and efficiency of the test planning activities.                                                                                                 |                  | D. MBT replaces traditional test design techniques                                                                                                                           |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | A test team has decided to apply an MBT approach for a maintenance enterprise system project with new functions. \nWhich one of the following statements describes a benefit of MBT you may expect for this kind of project?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               | Y                | A. MBT reduces maintenance costs by supporting project team shared understanding of requirements and identified problematic areas of the system.                                              |                  | B. MBT reduces the maintenance costs by supporting the project team to automatically generate the requirements.                                                            |                  | C. MBT reduces the maintenance costs by supporting the test team re-used system design models to fully automated generate test scripts for different test objectives.       |                  | D. MBT reduces the maintenance costs by supporting the test team re-use previous test selection criteria and applying it for new functions.                                  |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which of the following is a true statement regarding MBT models?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. The models should be introduced by anyone in the project team because the models support fully automated test generation.                                                                  |                  | B. The models should be developed on the basis of requirements and project test objectives, no need to change tool in the existing organization and test process.          |                  | C. The models should be implemented by the first generated version because that is thorough verification and validation.                                                    | Y                | D. The models should be adapted to the existing test process and organization.                                                                                               |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which of the following activities describes the "early testing" principle of MBT?\n(i)MBT tool selection\n(ii) MBT test generation\n(iii)MBT-based impact analysis\n(iv)MBT test adaptation\n(v) MBT-based test selection criteria\n(vi)MBT tool implementatio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. (i) and (ii)                                                                                                                                                                               | Y                | B. (vi) and (i)                                                                                                                                                            |                  | C. (iii) and (v)                                                                                                                                                            |                  | D. (ii) and (iv)                                                                                                                                                             |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which one of the following does NOT include the input MBT artifacts?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. Tool documents, test strategy, test conditions, test metrics.                                                                                                                              |                  | B. Defect reports, process guidelines, test schedule.                                                                                                                      | Y                | C. Test schedule, test adaptation layer specifications, test metrics.                                                                                                       |                  | D. Test logs, test conditions, defect reports, test scenarios.                                                                                                               |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | How does the test team integrate MBT into the software development lifecycle?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. Test team needs to build a MBT team to manage MBT process.                                                                                                                                 | Y                | B. Test team should share MBT models to BA or developers to demonstrate the common perception.                                                                             |                  | C. Test team need to start to use MBT models for acceptance test level to decrease the number of automation tester errors.                                                  |                  | D. Test team should implement MBT models to decrease software development lifecycle for higher quality deliverables.                                                         |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which of the following is NOT the way MBT supports user stories validation?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. MBT models support test teams or other stakeholders to aid in the understanding of the requirements.                                                                                       |                  | B. MBT models support development team get earlier feedback and improve the quality of user stories.                                                                       | Y                | C. MBT models support test team validate the quality of the acceptance criteria.                                                                                            |                  | D. MBT models support development team easier to share, review and discuss the expected software behaviors.                                                                  |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | The given workflow diagram describes the behavior of the chef when cooking meat.Chef will cook meat to well-done state, then add sauce and serve, if meat is enough salt.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Images\\CT-MBT_image21.png                                                                                  | Which one of the following statements corresponds to the workflow described in the model?             |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. Chef will cook meat until meat is enough salt.                                                                                                                                             | Y                | B. Chef will serve meat when meat is enough salt.                                                                                                                          |                  | C. Chef will repeat to cook meat when meat is over cooked.                                                                                                                  |                  | D. Chef will serve rare meat, based on customer request                                                                                                                      |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | The given workflow diagram describes the behavior of the ATM machine. It shows the transaction using ATM card function. After user inserts card, the ATM’s card reader will validate the card. If the card is not valid then the machine will eject the card. After the card is being read successfully, the ATM machine will ask for Pin. Then the user enters the Pin number and ATM machine will check Pin. If the Pin entered is not valid then the machine will reject the card. If the entered Pin is valid, then the machine further processes the transaction. After a successful transaction, the user can select between another transaction or finished the transaction. If the finished transaction is selected, the machine will eject the card.                                                                                                                                                                       | Images\\CT-MBT_image22.png                                                                                  | A reviewer of the model created four comments. Which one of the following comments is NOT correct?    |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. After inserting the card and machine check card successfully, the user cannot get card back until inputting invalid Pin or choosing cancel transaction.                                    |                  | B. After finishing a transaction, the user can choose another transaction. If a user wants to make another transaction, there is no need to repeat the validation process. | Y                | C. After entering the invalid Pin, the user must re-enter Pin until it is valid.                                                                                            |                  | D. After performing the transaction, the user has to choose another transaction to cancel and get the card back.                                                             |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | What is the subject and focus of this model?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Images\\CT-MBT_image23.png                                                                                  |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. Data/Behavior                                                                                                                                                                              |                  | B. Test/Data                                                                                                                                                               |                  | C. Environment/Data                                                                                                                                                         | Y                | D. Data/Structure                                                                                                                                                            |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Suppose the following test objectives are specified in the project:\n(1) Verify the correct implementation of input data ranges.\n(2) Verify whether all system interfaces exist as specified.\n(3) Validate that the system corresponds to the needs of different user.\n(4) Validate the business workflows. \nTest team share the following MBT models:\n(a) Behavioral environment model\n(b) Structural system model\n(c) Behavioral system model\n(d) Structural test model                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Which one of the following combinations between test objectives and MBT model subject and focus is correct? |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. 1-b; 2-a; 3-d; 4-c                                                                                                                                                                         | Y                | B. 1-b; 2-d; 3-a; 4-c                                                                                                                                                      |                  | C. 1-c; 2-d; 3-a; 4-b                                                                                                                                                       |                  | D. 1-c; 2-a; 3-d; 4-b                                                                                                                                                        |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | What are the following characteristics used for classifying the modelling languages?\n(1) The different set of supporting concepts.\n(2) The different degree of formalism.\n(3) The different categories\n(4) The different presentation formats\n(5)  The different abstractions                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. (1)-(2)-(5)                                                                                                                                                                                |                  | B. (2)-(3)-(5)                                                                                                                                                             | Y                | C. (1)-(2)-(4)                                                                                                                                                              |                  | D. (1)-(3)-(5)                                                                                                                                                               |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | The project has the following testing types:\n(1) System testing\n(2) Performance testing\n(3) End2End testing\n(4) Functional testing\nWhich one model of the following would you first recommend for each testing type?\n(a) Timed model\n(b) Activity diagram\n(c) State diagram\n(d) Decision table                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. 1-d; 2-a; 3-c; 4-b                                                                                                                                                                         |                  | B. 1-b; 2-d; 3-a; 4-c                                                                                                                                                      |                  | C. 1-c; 2-d; 3-a; 4-b                                                                                                                                                       | Y                | D. 1-d; 2-a; 3-b; 4-c                                                                                                                                                        |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | What are the terms for MBT quality characteristics?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. Correctness; Suitability; Viability                                                                                                                                                        |                  | B. Validity; Portability; Correctness                                                                                                                                      | Y                | C. Suitability; Correctness; Validity                                                                                                                                       |                  | D. Correctness; Efficiency; Suitability                                                                                                                                      |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which one of the following scenarios corresponds to a common mistake MBT newcomers tend to commit?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               | Y                | A. Design a MBT model to cover all aspects as structure, data and behavior                                                                                                                    |                  | B. Use the same MBT models for various test objectives and to cover different test levels and test types                                                                   |                  | C. Re-use the MBT artifacts from previous projects for further development                                                                                                  |                  | D. Apply MBT models before defining the detailed design of the system.                                                                                                       |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which one of the following statements is NOT the benefits of linking requirements to MBT models?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. If you want to generate tests for a specific requirement or set of requirements, the MBT model can support generating test cases and to decide the priority of them.                       |                  | B. When requirements are linked with model elements, it becomes easier to analyze the impact of requirements changes                                                       | Y                | C. The link between requirements and model elements facilitates root cause analysis in case of errors in the model.                                                         |                  | D. Even if the interfaces are not yet stabilized, linking the defined functional requirements to MBT models can help to generate the automation test scripts.                |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which one of the following statements is NOT the risk when the project applies MBT without modeling guidelines?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               | Y                | A. It will impact the scope of selected requirements.                                                                                                                                         |                  | B. Other stakeholders will be difficult to understand and review the models.                                                                                               |                  | C. The models will be difficult to re-use for further development.                                                                                                          |                  | D. The author maybe makes more classic mistakes when design the models                                                                                                       |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which one of the following examples shows a problem when the test team reuses an existing model of project?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. The test team decided to reuse the requirement models of the business processes, adapt them as part of an MBT model, if the models adequate with the test objectives.                      | Y                | B. The test team decided to reuse the structural model in the context of MBT models for user acceptance testing.                                                           |                  | C. The test team decided to reuse the existing system design models as a start and add more important test elements such as error conditions, to adapt for test objectives. |                  | D. The test team decided to use the basis of requirements and project test objectives to build the MBT model rather than reusing the existing detailed implementation model. |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which of the following tools support writing the MBT models?\n(1) UML diagram tool\n(2) Flowchart editor\n(3) Text editor\n(4) Model simulator\n(5) Model validator\n(6) State diagram editor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. 1-2-3-5                                                                                                                                                                                    |                  | B. 1-2-4-6                                                                                                                                                                 |                  | C. 2-3-4-5                                                                                                                                                                  | Y                | D. 1-2-3-6                                                                                                                                                                   |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which one of the following is the benefit of iterative MBT model development, review and validation?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               | Y                | A. Iterative model development helps the test team to validate the artifacts and areas to be tested in smaller chunks.                                                                        |                  | B. Iterative model development help the test team to separate complex MBT models become simpler models                                                                     |                  | C. Iterative model development allows the test team to start specifying tests early in the test implement process.                                                          |                  | D. Iterative model development helps the test team to manage risks during the test process.                                                                                  |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Why does the project need to apply test selection criteria to MBT model?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. To limit the size of a MBT model.                                                                                                                                                          |                  | B. To limit the size of a basis of requirements.                                                                                                                           | Y                | C. To limit the size of a test.                                                                                                                                             |                  | D. To limit the size of a project.                                                                                                                                           |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | What is model coverage?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. Model coverage is the degree to which a model of behavior is covered during integration testing.                                                                                           |                  | B. Model coverage the degree to which the model element is covered based on the items tested within a selected structure and the technique applied to the test basis.      |                  | C. Model coverage is the extent to which some type of structural element has been exercised by tests.                                                                       | Y                | D. Model coverage is the degree to which the specified elements of a model has been exercised by tests.                                                                      |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which of the following are NOT the basis used for MBT model elements test selection criteria?\n(1)Statements and conditions in textual models\n(2)Additional project-related information \n(3)State transaction diagrams\n(4)Business process models\n(5)The requirements linked to model\n(6)Pairwise analysis\n(7)Conditions and actions in decision tables\n(8)Previous defined scenarios                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. (1)-(4)-(5)-(7)                                                                                                                                                                            |                  | B. (2)-(5)-(6)-(7)                                                                                                                                                         | Y                | C. (2)-(5)-(6)-(8)                                                                                                                                                          |                  | D. (1)-(4)-(6)-(8)                                                                                                                                                           |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | The model shown in the figure is the check in process of airport officer. What is the minimum number of test cases needed to cover full path coverage?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Images\\CT-MBT_image24.png                                                                                  |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. 2                                                                                                                                                                                          | Y                | B. 3                                                                                                                                                                       |                  | C. 4                                                                                                                                                                        |                  | D. 5                                                                                                                                                                         |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which of the following test selection criteria are used for business process models?\n(1) Gateway coverage\n(2) Activity coverage \n(3) Multiple condition coverage\n(4) Transition coverage\n(5) Path coverage\n(6) Statement coverage                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. (1)-(2)-(4)                                                                                                                                                                                |                  | B. (1)-(2)-(5)                                                                                                                                                             |                  | C. (2)-(4)-(6)                                                                                                                                                              | Y                | D. (3)-(5)-(6)                                                                                                                                                               |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
